audio_path,transcript,emotion
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_ditch_angry.wav,ditch,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_dodge_angry.wav,dodge,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_dog_angry.wav,dog,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_doll_angry.wav,doll,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_door_angry.wav,door,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_fail_angry.wav,fail,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_fall_angry.wav,fall,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_far_angry.wav,far,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_fat_angry.wav,fat,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_fit_angry.wav,fit,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_five_angry.wav,five,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_food_angry.wav,food,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_gap_angry.wav,gap,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_gas_angry.wav,gas,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_gaze_angry.wav,gaze,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_germ_angry.wav,germ,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_get_angry.wav,get,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_gin_angry.wav,gin,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_goal_angry.wav,goal,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_good_angry.wav,good,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_goose_angry.wav,goose,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_gun_angry.wav,gun,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_half_angry.wav,half,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_hall_angry.wav,hall,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_hash_angry.wav,hash,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_hate_angry.wav,hate,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_have_angry.wav,have,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_haze_angry.wav,haze,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_hire_angry.wav,hire,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_hit_angry.wav,hit,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_hole_angry.wav,hole,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_home_angry.wav,home,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_hurl_angry.wav,hurl,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_hush_angry.wav,hush,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_jail_angry.wav,jail,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_jar_angry.wav,jar,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_join_angry.wav,join,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_judge_angry.wav,judge,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_jug_angry.wav,jug,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_juice_angry.wav,juice,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_keen_angry.wav,keen,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_keep_angry.wav,keep,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_keg_angry.wav,keg,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_kick_angry.wav,kick,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_kill_angry.wav,kill,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_king_angry.wav,king,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_kite_angry.wav,kite,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_knock_angry.wav,knock,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_late_angry.wav,late,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_laud_angry.wav,laud,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_lean_angry.wav,lean,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_learn_angry.wav,learn,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_lease_angry.wav,lease,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_lid_angry.wav,lid,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_life_angry.wav,life,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_limb_angry.wav,limb,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_live_angry.wav,live,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_loaf_angry.wav,loaf,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_long_angry.wav,long,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_lore_angry.wav,lore,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_lose_angry.wav,lose,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_lot_angry.wav,lot,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_love_angry.wav,love,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_luck_angry.wav,luck,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_make_angry.wav,make,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_match_angry.wav,match,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_merge_angry.wav,merge,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_mess_angry.wav,mess,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_met_angry.wav,met,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_mill_angry.wav,mill,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_mob_angry.wav,mob,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_mode_angry.wav,mode,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_mood_angry.wav,mood,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_moon_angry.wav,moon,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_mop_angry.wav,mop,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_mouse_angry.wav,mouse,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_nag_angry.wav,nag,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_name_angry.wav,name,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_near_angry.wav,near,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_neat_angry.wav,neat,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_nice_angry.wav,nice,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_note_angry.wav,note,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_numb_angry.wav,numb,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_pad_angry.wav,pad,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_page_angry.wav,page,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_pain_angry.wav,pain,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_pass_angry.wav,pass,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_pearl_angry.wav,pearl,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_peg_angry.wav,peg,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_perch_angry.wav,perch,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_phone_angry.wav,phone,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_pick_angry.wav,pick,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_pike_angry.wav,pike,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_pole_angry.wav,pole,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_pool_angry.wav,pool,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_puff_angry.wav,puff,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_rag_angry.wav,rag,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_raid_angry.wav,raid,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_rain_angry.wav,rain,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_raise_angry.wav,raise,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_rat_angry.wav,rat,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_reach_angry.wav,reach,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_read_angry.wav,read,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_red_angry.wav,red,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_ring_angry.wav,ring,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_ripe_angry.wav,ripe,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_road_angry.wav,road,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_room_angry.wav,room,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_rose_angry.wav,rose,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_rot_angry.wav,rot,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_rough_angry.wav,rough,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_rush_angry.wav,rush,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_said_angry.wav,said,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_sail_angry.wav,sail,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_search_angry.wav,search,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_seize_angry.wav,seize,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_sell_angry.wav,sell,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_shack_angry.wav,shack,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_shall_angry.wav,shall,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_shawl_angry.wav,shawl,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_sheep_angry.wav,sheep,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_shirt_angry.wav,shirt,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_should_angry.wav,should,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_shout_angry.wav,shout,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_size_angry.wav,size,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_soap_angry.wav,soap,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_soup_angry.wav,soup,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_sour_angry.wav,sour,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_south_angry.wav,south,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_sub_angry.wav,sub,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_such_angry.wav,such,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_sure_angry.wav,sure,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_take_angry.wav,take,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_talk_angry.wav,talk,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_tape_angry.wav,tape,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_team_angry.wav,team,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_tell_angry.wav,tell,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_thin_angry.wav,thin,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_third_angry.wav,third,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_thought_angry.wav,thought,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_thumb_angry.wav,thumb,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_time_angry.wav,time,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_tip_angry.wav,tip,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_tire_angry.wav,tire,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_ton_angry.wav,ton,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_tool_angry.wav,tool,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_tough_angry.wav,tough,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_turn_angry.wav,turn,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_vine_angry.wav,vine,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_voice_angry.wav,voice,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_void_angry.wav,void,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_vote_angry.wav,vote,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_wag_angry.wav,wag,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_walk_angry.wav,walk,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_wash_angry.wav,wash,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_week_angry.wav,week,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_wheat_angry.wav,wheat,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_when_angry.wav,when,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_which_angry.wav,which,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_whip_angry.wav,whip,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_white_angry.wav,white,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_wife_angry.wav,wife,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_wire_angry.wav,wire,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_witch_angry.wav,witch,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_yearn_angry.wav,yearn,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_yes_angry.wav,yes,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_young_angry.wav,young,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_youth_angry.wav,youth,angry
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_back_disgust.wav,back,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_bar_disgust.wav,bar,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_base_disgust.wav,base,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_bath_disgust.wav,bath,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_bean_disgust.wav,bean,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_beg_disgust.wav,beg,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_bite_disgust.wav,bite,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_boat_disgust.wav,boat,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_bone_disgust.wav,bone,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_book_disgust.wav,book,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_bought_disgust.wav,bought,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_burn_disgust.wav,burn,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_cab_disgust.wav,cab,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_calm_disgust.wav,calm,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_came_disgust.wav,came,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_cause_disgust.wav,cause,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_chain_disgust.wav,chain,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_chair_disgust.wav,chair,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_chalk_disgust.wav,chalk,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_chat_disgust.wav,chat,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_check_disgust.wav,check,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_cheek_disgust.wav,cheek,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_chief_disgust.wav,chief,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_choice_disgust.wav,choice,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_cool_disgust.wav,cool,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_dab_disgust.wav,dab,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_date_disgust.wav,date,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_dead_disgust.wav,dead,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_death_disgust.wav,death,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_deep_disgust.wav,deep,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_dime_disgust.wav,dime,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_dip_disgust.wav,dip,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_ditch_disgust.wav,ditch,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_dodge_disgust.wav,dodge,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_dog_disgust.wav,dog,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_doll_disgust.wav,doll,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_door_disgust.wav,door,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_fail_disgust.wav,fail,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_fall_disgust.wav,fall,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_far_disgust.wav,far,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_fat_disgust.wav,fat,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_fit_disgust.wav,fit,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_five_disgust.wav,five,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_food_disgust.wav,food,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_gap_disgust.wav,gap,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_gas_disgust.wav,gas,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_gaze_disgust.wav,gaze,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_germ_disgust.wav,germ,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_get_disgust.wav,get,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_gin_disgust.wav,gin,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_goal_disgust.wav,goal,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_good_disgust.wav,good,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_goose_disgust.wav,goose,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_gun_disgust.wav,gun,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_half_disgust.wav,half,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_hall_disgust.wav,hall,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_hash_disgust.wav,hash,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_hate_disgust.wav,hate,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_have_disgust.wav,have,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_haze_disgust.wav,haze,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_hire_disgust.wav,hire,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_hit_disgust.wav,hit,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_hole_disgust.wav,hole,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_home_disgust.wav,home,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_hurl_disgust.wav,hurl,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_hush_disgust.wav,hush,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_jail_disgust.wav,jail,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_jar_disgust.wav,jar,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_join_disgust.wav,join,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_judge_disgust.wav,judge,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_jug_disgust.wav,jug,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_juice_disgust.wav,juice,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_keen_disgust.wav,keen,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_keep_disgust.wav,keep,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_keg_disgust.wav,keg,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_kick_disgust.wav,kick,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_kill_disgust.wav,kill,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_king_disgust.wav,king,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_kite_disgust.wav,kite,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_knock_disgust.wav,knock,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_late_disgust.wav,late,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_laud_disgust.wav,laud,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_lean_disgust.wav,lean,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_learn_disgust.wav,learn,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_lease_disgust.wav,lease,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_lid_disgust.wav,lid,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_life_disgust.wav,life,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_limb_disgust.wav,limb,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_live_disgust.wav,live,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_loaf_disgust.wav,loaf,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_long_disgust.wav,long,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_lore_disgust.wav,lore,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_lose_disgust.wav,lose,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_lot_disgust.wav,lot,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_love_disgust.wav,love,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_luck_disgust.wav,luck,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_make_disgust.wav,make,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_match_disgust.wav,match,disgust
data/raw/TESS Toronto emotional speech set data\OAF_disgust\OAF_merge_disgust.wav,merge,disgust
